Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 1.100574e-001  3.956033e-003  2.456019e-004
 1.102990e-001  4.309033e-003  2.447508e-004
 1.105405e-001  3.976815e-003  2.430260e-004
 1.107821e-001  3.837818e-003  2.436760e-004
 1.110237e-001  4.007948e-003  2.432023e-004
 1.112653e-001  4.252427e-003  2.453785e-004
 1.115069e-001  3.951818e-003  2.404872e-004
 1.117485e-001  4.160897e-003  2.418075e-004
 1.119901e-001  3.834848e-003  2.386029e-004
 1.122317e-001  3.327324e-003  2.380381e-004
 1.124733e-001  3.315464e-003  2.386908e-004
 1.127148e-001  4.069033e-003  2.395178e-004
 1.129564e-001  3.808388e-003  2.389547e-004
 1.131980e-001  4.005655e-003  2.388790e-004
 1.134396e-001  3.637670e-003  2.381577e-004
 1.136812e-001  3.171824e-003  2.366845e-004
 1.139228e-001  3.833945e-003  2.366760e-004
 1.141644e-001  3.696309e-003  2.348263e-004
 1.144060e-001  3.633439e-003  2.352720e-004
 1.146476e-001  3.349000e-003  2.353360e-004
 1.148891e-001  3.538782e-003  2.324904e-004
 1.151307e-001  3.719264e-003  2.360008e-004
 1.153723e-001  2.945205e-003  2.319888e-004
 1.156139e-001  2.848070e-003  2.331432e-004
 1.158555e-001  3.080858e-003  2.305517e-004
 1.160971e-001  3.382833e-003  2.332970e-004
 1.163387e-001  3.135467e-003  2.319854e-004
 1.165803e-001  2.955798e-003  2.303908e-004
 1.168218e-001  3.071312e-003  2.292604e-004
 1.170634e-001  2.814333e-003  2.289697e-004
 1.173050e-001  2.807799e-003  2.296773e-004
 1.175466e-001  2.818550e-003  2.279178e-004
 1.177882e-001  2.959932e-003  2.284492e-004
 1.180298e-001  2.482213e-003  2.279150e-004
 1.182714e-001  2.873161e-003  2.291928e-004
 1.185130e-001  3.397424e-003  2.285842e-004
 1.187546e-001  3.009774e-003  2.285510e-004
 1.189961e-001  2.782036e-003  2.261008e-004
 1.192377e-001  2.636564e-003  2.246591e-004
 1.194793e-001  2.590594e-003  2.237258e-004
 1.197209e-001  3.082703e-003  2.266741e-004
 1.199625e-001  2.663113e-003  2.243930e-004
 1.202041e-001  2.321802e-003  2.217874e-004
 1.204457e-001  2.843780e-003  2.259427e-004
 1.206873e-001  2.395538e-003  2.229304e-004
 1.209289e-001  2.518008e-003  2.242736e-004
 1.211704e-001  2.863602e-003  2.233919e-004
 1.214120e-001  2.221054e-003  2.214310e-004
 1.216536e-001  2.205744e-003  2.216425e-004
 1.218952e-001  2.193372e-003  2.200449e-004
 1.221368e-001  2.082762e-003  2.207048e-004
 1.223784e-001  2.557221e-003  2.220200e-004
 1.226200e-001  2.766457e-003  2.225751e-004
 1.228616e-001  2.463252e-003  2.211158e-004
 1.231031e-001  2.671278e-003  2.216422e-004
 1.233447e-001  2.667988e-003  2.214552e-004
 1.235863e-001  2.500975e-003  2.217453e-004
 1.238279e-001  2.452612e-003  2.192920e-004
 1.240695e-001  2.498884e-003  2.194958e-004
 1.243111e-001  2.520716e-003  2.193198e-004
 1.245527e-001  2.399451e-003  2.193546e-004
 1.247943e-001  2.242957e-003  2.177977e-004
 1.250359e-001  2.381643e-003  2.186841e-004
 1.252774e-001  2.049275e-003  2.176130e-004
 1.255190e-001  2.219782e-003  2.173062e-004
 1.257606e-001  2.140019e-003  2.171513e-004
 1.260022e-001  2.173134e-003  2.168990e-004
 1.262438e-001  2.474261e-003  2.184362e-004
 1.264854e-001  2.791238e-003  2.179628e-004
 1.267270e-001  1.973542e-003  2.145730e-004
 1.269686e-001  1.963785e-003  2.148327e-004
 1.272101e-001  2.382306e-003  2.152515e-004
 1.274517e-001  2.397614e-003  2.170985e-004
 1.276933e-001  2.539094e-003  2.158308e-004
 1.279349e-001  2.022599e-003  2.160019e-004
 1.281765e-001  2.047308e-003  2.155954e-004
 1.284181e-001  1.915858e-003  2.140017e-004
 1.286597e-001  2.052821e-003  2.157125e-004
 1.289013e-001  1.851065e-003  2.140032e-004
 1.291429e-001  2.058559e-003  2.147055e-004
 1.293845e-001  1.676631e-003  2.122274e-004
 1.296260e-001  1.973774e-003  2.143815e-004
